,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
388,Umm Kaddadah,SD,13.6,26.69,86.38,43,92,22.55,overcast clouds,0.0,0.0
389,Mizdah,LY,31.45,12.98,78.91,32,0,7.49,clear sky,0.0,0.0
390,Najran,SA,17.49,44.13,86.0,20,75,1.39,broken clouds,0.0,0.0
391,Bongandanga,CD,1.5,21.05,72.9,95,100,1.66,moderate rain,1.27,0.0
392,Beya,RU,53.05,90.91,56.43,92,100,2.98,moderate rain,3.56,0.0
393,Chivay,PE,-15.64,-71.6,48.0,40,0,5.48,clear sky,0.0,0.0
394,Prince Rupert,CA,54.32,-130.32,59.0,82,20,10.29,few clouds,0.0,0.0
395,Tautira,PF,-17.73,-149.15,84.2,51,40,5.82,scattered clouds,0.0,0.0
396,Ust-Koksa,RU,50.27,85.61,49.17,63,100,2.55,overcast clouds,0.0,0.0
397,Sucua,EC,-2.47,-78.17,71.6,83,20,8.05,few clouds,0.0,0.0
398,Redmond,US,47.67,-122.12,69.01,69,59,8.19,broken clouds,0.0,0.0
399,The Valley,AI,18.22,-63.06,86.0,66,75,9.17,haze,0.0,0.0
400,Balabac,PH,7.99,117.06,80.69,79,84,5.12,broken clouds,0.0,0.0
401,Ponta Do Sol,PT,32.67,-17.1,71.6,73,40,12.75,scattered clouds,0.0,0.0
402,Maldonado,UY,-34.67,-54.92,46.99,93,63,5.82,broken clouds,0.0,0.0
403,Vostok,RU,46.49,135.88,62.2,66,97,1.23,overcast clouds,0.0,0.0
404,Helong,CN,42.54,129.0,67.96,75,4,3.51,clear sky,0.0,0.0
405,Galveston,US,29.37,-94.97,87.01,79,75,14.99,broken clouds,0.0,0.0
406,Muisne,EC,0.6,-80.03,75.9,85,92,8.1,overcast clouds,0.0,0.0
407,Tommot,RU,58.96,126.29,73.85,50,42,1.34,scattered clouds,0.0,0.0
408,Katherine,AU,-14.47,132.27,64.4,55,19,5.82,few clouds,0.0,0.0
409,Saratovskaya,RU,44.71,39.22,66.0,82,0,2.24,clear sky,0.0,0.0
410,Ahipara,NZ,-35.17,173.17,58.48,72,13,18.81,light rain,0.48,0.0
411,Gari,RU,59.43,62.35,46.04,94,100,6.71,overcast clouds,0.0,0.0
412,Sao Felix Do Xingu,BR,-6.64,-51.99,76.32,67,0,2.89,clear sky,0.0,0.0
413,Rodino,RU,52.5,80.25,57.67,54,7,14.5,clear sky,0.0,0.0
414,Conakry,GN,9.54,-13.68,80.94,81,100,9.24,light rain,0.24,0.0
415,Masindi,UG,1.67,31.71,64.15,94,1,2.68,clear sky,0.0,0.0
416,Ahuimanu,US,21.44,-157.84,87.8,45,40,8.05,scattered clouds,0.0,0.0
417,Victor Harbor,AU,-35.57,138.62,37.0,94,0,8.14,clear sky,0.0,0.0
418,Gamovo,RU,57.87,56.11,44.6,100,20,2.24,few clouds,0.0,0.0
419,Pouebo,NC,-20.4,164.57,73.08,59,53,7.9,broken clouds,0.0,0.0
420,Bulungu,CD,-4.55,18.6,75.13,59,1,0.63,clear sky,0.0,0.0
421,Lac Du Bonnet,CA,50.25,-96.06,87.35,46,16,9.89,few clouds,0.0,0.0
422,Senno,RU,59.53,33.92,48.52,76,0,5.64,clear sky,0.0,0.0
423,Igis,CH,46.95,9.57,60.01,100,100,4.05,light rain,0.91,0.0
424,Talcahuano,CL,-36.72,-73.12,55.4,82,90,6.93,overcast clouds,0.0,0.0
425,Riyadh,SA,24.69,46.72,89.6,19,20,6.31,few clouds,0.0,0.0
426,Banda Aceh,ID,5.56,95.32,78.58,80,69,9.37,broken clouds,0.0,0.0
427,Praia,CV,14.92,-23.51,77.0,73,20,13.87,few clouds,0.0,0.0
428,Geraldton,AU,-28.77,114.6,64.4,68,40,21.92,scattered clouds,0.0,0.0
429,Zharkovskiy,RU,55.85,32.27,59.34,97,12,5.03,few clouds,0.0,0.0
430,Kharp,RU,66.8,65.81,45.03,76,100,12.37,overcast clouds,0.0,0.0
431,Lata,PT,40.16,-8.33,68.0,85,10,3.33,clear sky,0.0,0.0
432,Suozhen,CN,36.95,118.1,74.48,75,98,3.65,overcast clouds,0.0,0.0
433,Paita,PE,-5.09,-81.11,65.82,82,0,14.43,clear sky,0.0,0.0
434,Mercedes,AR,-34.65,-59.43,48.99,66,42,1.01,scattered clouds,0.0,0.0
435,San Policarpo,PH,12.18,125.51,79.66,83,100,8.1,overcast clouds,0.0,0.0
436,Pouembout,NC,-21.13,164.9,73.45,50,0,6.13,clear sky,0.0,0.0
437,Ruston,US,32.52,-92.64,73.4,88,1,5.82,clear sky,0.0,0.0
438,Bam,IR,29.11,58.36,88.88,21,79,2.42,broken clouds,0.0,0.0
439,Ngunguru,NZ,-35.62,174.5,60.01,74,0,5.01,clear sky,0.0,0.0
440,Tralee,IE,52.27,-9.7,53.4,78,99,22.48,light rain,0.11,0.0
441,Magadan,RU,59.57,150.8,54.18,75,58,3.78,broken clouds,0.0,0.0
442,Dudinka,RU,69.41,86.18,71.6,53,0,17.9,clear sky,0.0,0.0
443,Muros,ES,42.78,-9.06,63.0,90,21,4.0,few clouds,0.0,0.0
444,Ozinki,RU,51.18,49.68,59.09,77,36,6.8,scattered clouds,0.0,0.0
445,Taksimo,RU,56.34,114.88,64.76,70,100,1.92,overcast clouds,0.0,0.0
446,Misratah,LY,32.38,15.09,75.04,71,0,10.22,clear sky,0.0,0.0
447,Pangody,RU,65.85,74.49,54.68,95,99,15.59,light rain,0.65,0.0
448,Sibolga,ID,1.74,98.78,76.37,78,21,5.12,few clouds,0.0,0.0
449,Tampakan,PH,6.44,124.93,73.74,87,100,0.34,light rain,0.41,0.0
450,Kalabagh,PK,32.97,71.56,92.05,37,60,13.27,broken clouds,0.0,0.0
451,Cabo Rojo,PR,18.09,-67.15,84.0,88,100,7.83,overcast clouds,0.0,0.0
452,San Luis,AR,-33.3,-66.34,46.42,55,100,1.59,overcast clouds,0.0,0.0
453,Birnin Kebbi,NG,12.45,4.2,80.08,67,100,12.06,overcast clouds,0.0,0.0
454,Dingle,PH,11.0,122.67,77.38,85,100,1.03,overcast clouds,0.0,0.0
455,Camacha,PT,33.08,-16.33,69.8,88,75,16.11,broken clouds,0.0,0.0
456,Paamiut,GL,61.99,-49.67,40.23,88,52,12.97,broken clouds,0.0,0.0
457,Mattru,SL,7.62,-11.83,73.69,98,100,2.93,overcast clouds,0.0,0.0
458,Jadu,LY,31.95,12.03,74.41,42,0,3.56,clear sky,0.0,0.0
459,Mentougou,CN,39.94,116.09,82.99,75,97,3.0,overcast clouds,0.0,0.0
460,Llanes,ES,43.42,-4.75,64.99,98,93,7.0,overcast clouds,0.0,0.0
461,Aguimes,ES,27.91,-15.45,73.4,73,75,24.16,broken clouds,0.0,0.0
462,Mezen,RU,65.85,44.24,40.89,75,88,5.46,overcast clouds,0.0,0.0
463,Gola Bazar,IN,26.34,83.36,82.15,81,69,5.75,light rain,0.55,0.0
464,Winnemucca,US,40.97,-117.74,62.6,27,90,17.22,overcast clouds,0.0,0.0
465,Cururupu,BR,-1.83,-44.87,76.66,88,60,3.69,broken clouds,0.0,0.0
466,Mangrol,IN,21.12,70.12,85.78,80,56,12.44,broken clouds,0.0,0.0
467,Luwuk,ID,-0.95,122.79,77.61,79,100,5.03,light rain,0.54,0.0
468,Asuncion,PY,-25.3,-57.64,66.2,63,75,3.36,broken clouds,0.0,0.0
469,Lagoa,PT,39.05,-27.98,67.66,93,0,8.37,clear sky,0.0,0.0
470,Padang,ID,-0.95,100.35,77.79,77,68,2.98,broken clouds,0.0,0.0
471,Sisimiut,GL,66.94,-53.67,41.81,80,16,8.66,few clouds,0.0,0.0
472,Naukot,PK,24.86,69.4,86.79,68,42,16.58,scattered clouds,0.0,0.0
473,Jiaxing,CN,30.75,120.75,84.99,40,100,8.3,moderate rain,3.3,0.0
474,Iskateley,RU,67.68,53.15,39.29,86,100,14.27,overcast clouds,0.0,0.0
475,Bowen,AU,-20.02,148.23,68.0,88,90,12.75,overcast clouds,0.0,0.0
476,Melaka,MY,2.2,102.24,78.8,94,20,1.12,few clouds,0.0,0.0
477,Manokwari,ID,-0.87,134.08,81.1,66,67,3.36,light rain,0.74,0.0
478,Road Town,VG,18.42,-64.62,84.2,74,40,10.29,shower rain,0.0,0.0
479,Zyryanka,RU,65.75,150.85,59.49,35,100,11.34,overcast clouds,0.0,0.0
480,Raudeberg,NO,61.99,5.14,55.99,90,97,11.68,light rain,0.38,0.0
481,Sikonge,TZ,-5.63,32.77,67.39,47,60,7.07,broken clouds,0.0,0.0
482,Ancud,CL,-41.87,-73.82,46.99,100,90,2.24,overcast clouds,0.0,0.0
483,Mina,MX,26.0,-100.53,91.4,46,20,10.29,few clouds,0.0,0.0
484,Wynyard,AU,-41.0,145.72,46.0,93,20,3.42,few clouds,0.0,0.0
485,Karatsu,JP,33.44,129.97,78.01,70,78,1.99,broken clouds,0.0,0.0
486,Grand-Lahou,CI,5.14,-5.02,76.86,83,72,12.28,broken clouds,0.0,0.0
487,Alamogordo,US,32.9,-105.96,93.2,15,28,17.22,scattered clouds,0.0,0.0
488,Taoudenni,ML,22.68,-3.98,100.76,8,0,9.95,clear sky,0.0,0.0
489,Olafsvik,IS,64.89,-23.71,52.92,84,100,15.39,overcast clouds,0.0,0.0
490,Surt,LY,31.21,16.59,74.73,71,0,11.63,clear sky,0.0,0.0
491,Pundaguitan,PH,6.37,126.17,76.23,86,100,2.44,light rain,0.54,0.0
492,Chifeng,CN,42.27,118.96,73.29,56,100,8.84,overcast clouds,0.0,0.0
493,Nelson Bay,AU,-32.72,152.15,52.0,100,75,9.17,shower rain,0.0,0.0
494,Xichang,CN,27.9,102.26,69.66,82,100,0.69,moderate rain,1.13,0.0
495,Nyakabindi,TZ,-2.63,33.98,67.59,50,51,4.52,broken clouds,0.0,0.0
496,Namibe,AO,-15.2,12.15,66.96,67,0,3.89,clear sky,0.0,0.0
497,Venado Tuerto,AR,-33.75,-61.97,51.01,58,21,8.01,few clouds,0.0,0.0
498,Monfalcone,IT,45.81,13.53,73.0,83,72,2.24,broken clouds,0.0,0.0
499,Kenai,US,60.55,-151.26,60.8,62,75,11.41,broken clouds,0.0,0.0
500,Black Diamond,US,47.31,-122.0,71.01,77,81,4.52,light rain,0.51,0.0
501,Villa Maria,AR,-32.41,-63.24,50.0,50,61,1.01,broken clouds,0.0,0.0
502,Atambua,ID,-9.11,124.89,71.55,86,94,4.36,overcast clouds,0.0,0.0
503,Brighton,GB,50.83,-0.14,60.01,77,51,4.0,broken clouds,0.0,0.0
504,Kamra,PK,33.75,73.51,73.4,88,20,11.99,few clouds,0.0,0.0
505,Rossland,CA,49.08,-117.8,60.01,66,100,1.01,light rain,0.13,0.0
506,Doha,QA,25.29,51.53,89.6,55,4,3.36,clear sky,0.0,0.0
507,Champerico,GT,14.3,-91.92,82.4,74,75,6.93,broken clouds,0.0,0.0
508,Kiama,AU,-34.68,150.87,52.0,94,79,3.0,light rain,0.25,0.0
509,San Jeronimo,PE,-11.95,-75.28,53.11,59,29,6.15,light rain,0.17,0.0
510,Kabalo,CD,-6.05,26.92,75.04,47,23,3.31,few clouds,0.0,0.0
511,Tamworth,GB,52.63,-1.7,55.99,71,76,9.17,broken clouds,0.0,0.0
512,Santa Rosa,PH,14.31,121.11,80.01,94,75,4.7,broken clouds,0.0,0.0
513,Shimoda,JP,34.67,138.95,77.0,69,11,8.03,few clouds,0.0,0.0
514,Aklavik,CA,68.22,-135.01,68.0,34,20,10.29,few clouds,0.0,0.0
515,Kuytun,RU,54.34,101.5,62.49,90,47,10.89,light rain,0.69,0.0
516,Mogadouro,PT,41.34,-6.71,66.0,72,0,4.07,clear sky,0.0,0.0
517,Krasnoselkup,RU,65.7,82.47,58.42,75,67,21.47,broken clouds,0.0,0.0
518,Calabozo,VE,8.92,-67.43,78.1,88,66,1.99,broken clouds,0.0,0.0
519,Bubaque,GW,11.28,-15.83,81.64,81,42,14.27,scattered clouds,0.0,0.0
520,Sharjah,AE,25.36,55.4,91.4,70,13,4.34,haze,0.0,0.0
521,Simao,CN,22.79,100.97,65.28,96,99,1.95,light rain,0.72,0.0
522,Greenfield,US,42.96,-88.01,80.01,57,75,9.17,broken clouds,0.0,0.0
523,Suhut,TR,38.53,30.55,63.84,55,0,3.78,clear sky,0.0,0.0
524,Sao Lourenco Do Sul,BR,-31.37,-51.98,42.01,90,87,5.39,overcast clouds,0.0,0.0
525,San Jose,US,37.34,-121.89,80.01,26,20,14.99,few clouds,0.0,0.0
526,Mount Gambier,AU,-37.83,140.77,33.8,100,2,1.12,clear sky,0.0,0.0
527,Pierre,US,44.37,-100.35,95.0,36,1,13.87,clear sky,0.0,0.0
528,Bell Ville,AR,-32.63,-62.69,50.0,50,48,1.01,scattered clouds,0.0,0.0
529,Ambalavao,MG,-21.83,46.93,57.87,70,0,0.11,clear sky,0.0,0.0
530,Sterlibashevo,RU,53.44,55.26,46.29,90,70,6.13,broken clouds,0.0,0.0
531,Kindu,CD,-2.95,25.95,71.46,76,43,1.32,scattered clouds,0.0,0.0
532,Tateyama,JP,34.98,139.87,75.99,100,28,3.0,light rain,0.48,0.0
533,Novo Aripuana,BR,-5.12,-60.38,82.87,57,23,1.52,few clouds,0.0,0.0
534,Along,IN,28.17,94.77,71.6,88,77,0.69,broken clouds,0.0,0.0
535,Pathein,MM,16.78,94.73,75.9,89,62,4.41,broken clouds,0.0,0.0
536,Vieste,IT,41.88,16.18,75.0,64,5,4.7,clear sky,0.0,0.0
537,Folkestone,GB,51.08,1.18,61.0,90,54,7.0,broken clouds,0.0,0.0
538,Liverpool,GB,53.41,-2.98,57.2,71,99,19.46,light rain,0.25,0.0
539,Panzhihua,CN,26.59,101.71,75.27,76,100,2.04,light rain,0.29,0.0
540,Ca Mau,VN,9.18,105.15,78.42,87,100,5.84,light rain,0.61,0.0
541,Kavaratti,IN,10.57,72.64,83.93,79,100,20.09,overcast clouds,0.0,0.0
542,Prainha,BR,-1.8,-53.48,76.69,88,98,2.71,overcast clouds,0.0,0.0
543,Kargasok,RU,59.06,80.86,52.54,83,7,14.47,clear sky,0.0,0.0
544,Cabra,ES,37.47,-4.44,81.0,37,0,6.44,clear sky,0.0,0.0
545,Billings,US,45.78,-108.5,62.01,87,90,11.41,light rain,0.25,0.0
546,Kirakira,SB,-10.45,161.92,85.19,65,37,5.75,scattered clouds,0.0,0.0
547,Nkan,GA,0.38,9.78,77.0,83,40,9.17,scattered clouds,0.0,0.0
548,Ponta Delgada,PT,37.73,-25.67,68.0,88,40,3.36,scattered clouds,0.0,0.0
549,Tynda,RU,55.17,124.72,66.11,63,93,1.95,overcast clouds,0.0,0.0
550,Constantine,DZ,36.37,6.61,69.8,68,0,2.24,clear sky,0.0,0.0
551,Finschhafen,PG,-6.6,147.87,81.93,71,93,8.43,light rain,0.35,0.0
552,Berezovyy,RU,51.67,135.7,60.6,74,78,1.43,broken clouds,0.0,0.0
553,Belmonte,BR,-15.86,-38.88,73.4,78,40,2.24,scattered clouds,0.0,0.0
554,Eyl,SO,7.98,49.82,81.45,68,1,24.07,clear sky,0.0,0.0
555,Yangjiang,CN,21.85,111.97,81.19,86,78,3.44,broken clouds,0.0,0.0
556,Namwala,ZM,-15.75,26.44,54.9,47,0,2.13,clear sky,0.0,0.0
557,Lafia,NG,8.48,8.52,73.4,88,53,0.43,broken clouds,0.0,0.0
558,Tessalit,ML,20.2,1.01,94.48,11,11,13.06,few clouds,0.0,0.0
559,Aksu,CN,41.12,80.26,61.65,50,44,14.52,light rain,0.94,0.0
560,Kampene,CD,-3.6,26.67,73.2,73,68,1.3,broken clouds,0.0,0.0
561,Flinders,AU,-34.58,150.86,52.0,92,74,1.01,broken clouds,0.0,0.0
562,Lima,PE,-12.04,-77.03,62.6,77,90,8.05,overcast clouds,0.0,0.0
563,Kaputa,ZM,-8.47,29.66,68.68,59,18,3.0,few clouds,0.0,0.0
564,Troitsko-Pechorsk,RU,62.71,56.2,38.23,93,52,6.8,broken clouds,0.0,0.0
565,Simbahan,PH,6.3,120.58,79.9,82,100,9.6,overcast clouds,0.0,0.0
566,Faya,SA,18.39,42.45,77.0,22,100,1.36,overcast clouds,0.0,0.0
567,Chapais,CA,49.78,-74.85,75.2,53,1,8.05,clear sky,0.0,0.0
568,Vila,PT,42.03,-8.16,63.0,83,17,3.02,few clouds,0.0,0.0
569,Gazimurskiy Zavod,RU,51.55,118.33,65.16,61,73,2.44,broken clouds,0.0,0.0
570,Maningrida,AU,-12.07,134.27,70.63,82,32,7.45,scattered clouds,0.0,0.0
571,Isla Mujeres,MX,21.23,-86.73,87.8,70,75,10.29,broken clouds,0.0,0.0
572,Perama,GR,37.98,23.58,79.0,33,0,5.37,clear sky,0.0,0.0
573,Ambovombe,MG,-25.17,46.08,64.92,88,0,4.85,clear sky,0.0,0.0
574,Tura,IN,25.52,90.22,73.38,98,98,5.77,light rain,0.77,0.0
575,Kamarion,GR,36.8,25.82,75.99,55,0,5.01,clear sky,0.0,0.0
576,Bathsheba,BB,13.22,-59.52,82.4,74,20,14.99,few clouds,0.0,0.0
577,Kaeo,NZ,-35.1,173.78,60.01,3,0,10.0,clear sky,0.0,0.0
578,Metro,ID,-5.11,105.31,73.15,94,0,3.51,clear sky,0.0,0.0
579,Indiaroba,BR,-11.52,-37.51,72.01,85,0,4.85,clear sky,0.0,0.0
580,Tual,ID,-5.67,132.75,79.68,78,96,22.03,overcast clouds,0.0,0.0
581,Aswan,EG,24.09,32.91,86.52,19,10,9.55,clear sky,0.0,0.0
582,Chapleau,CA,47.84,-83.4,80.6,39,20,3.36,few clouds,0.0,0.0
583,Znamenskoye,RU,57.13,73.83,54.61,98,99,8.23,overcast clouds,0.0,0.0
584,Nicoya,CR,10.15,-85.45,78.8,88,97,4.7,moderate rain,1.46,0.0
